id,Car_Cancellation
132516,0
132529,0
132532,0
132547,0
132548,0
132549,0
132554,0
132560,0
132562,0
132565,0
132575,0
132582,0
132584,0
132586,0
132593,0
132601,0
132603,0
132613,0
132622,0
132636,0
132647,0
132654,0
132655,0
132660,0
132680,0
132691,0
132696,0
132711,0
132726,0
132735,0
132746,0
132753,0
132765,0
132774,0
132779,0
132789,0
132803,0
132805,0
132811,0
132818,0
132819,0
132821,0
132822,0
132823,0
132830,0
132838,0
132839,0
132842,0
132844,0
132845,0
132848,0
132852,0
132854,0
132855,0
132859,0
132866,0
132867,0
132869,0
132873,0
132875,0
132879,0
132880,0
132883,0
132885,0
132890,0
132898,0
132901,0
132917,0
132918,0
132923,0
132928,0
132930,0
132935,0
132942,0
132945,0
132946,0
132953,0
132958,0
132965,0
132972,0
132975,0
132981,0
132984,0
132985,0
132988,0
132995,0
133008,0
133021,0
133023,0
133026,0
133038,0
133045,0
133046,0
133050,0
133054,0
133055,0
133057,0
133068,0
133069,0
133070,0
133089,0
133104,0
133111,0
133140,0
133141,0
133151,0
133153,0
133154,0
133164,0
133168,0
133169,0
133171,0
133176,0
133178,0
133183,0
133187,0
133188,0
133209,0
133211,0
133218,0
133226,0
133233,0
133243,0
133246,0
133253,0
133260,0
133275,0
133291,0
133298,0
133301,0
133302,0
133319,0
133330,0
133341,0
133343,0
133344,0
133345,0
133348,0
133349,0
133359,0
133365,0
133369,0
133380,0
133409,0
133414,0
133423,0
133425,0
133427,0
133428,0
133430,0
133435,0
133437,0
133441,0
133444,0
133447,0
133452,0
133460,0
133463,0
133465,0
133467,0
133472,0
133480,0
133489,0
133501,0
133506,0
133510,0
133521,0
133524,0
133540,0
133542,0
133544,0
133547,0
133549,0
133556,0
133559,0
133561,0
133573,0
133575,0
133576,0
133586,0
133593,0
133612,0
133617,0
133619,0
133628,0
133631,0
133635,0
133636,0
133637,0
133642,0
133644,0
133648,0
133654,0
133656,0
133662,0
133668,0
133669,0
133679,0
133680,0
133694,0
133704,0
133706,0
133725,0
133731,0
133739,0
133741,0
133748,0
133749,0
133762,0
133765,0
133770,0
133777,0
133786,0
133788,0
133790,0
133793,0
133797,0
133799,0
133802,0
133805,0
133807,0
133812,0
133825,0
133851,0
133853,0
133856,0
133858,0
133864,0
133865,0
133866,0
133873,0
133874,0
133897,0
133898,0
133900,0
133906,0
133911,0
133914,0
133924,0
133928,0
133929,0
133932,0
133940,0
133943,0
133948,0
133956,0
133966,0
133967,0
133975,0
133979,0
133991,0
133992,0
133996,0
134001,0
134002,0
134007,0
134011,0
134014,0
134017,0
134018,0
134027,0
134031,0
134034,0
134036,0
134040,0
134042,0
134047,0
134049,0
134050,0
134052,0
134057,0
134058,0
134059,0
134066,0
134086,0
134094,0
134097,0
134113,0
134122,0
134125,0
134141,0
134143,0
134144,0
134146,0
134147,0
134156,0
134160,0
134169,0
134171,0
134174,0
134179,0
134182,0
134213,0
134214,0
134220,0
134226,0
134227,0
134235,0
134239,0
134240,0
134241,0
134253,0
134260,0
134261,0
134272,0
134273,0
134284,0
134285,0
134288,0
134289,0
134302,0
134308,0
134309,0
134323,0
134327,0
134329,0
134330,0
134332,0
134333,0
134338,0
134349,0
134362,0
134372,0
134386,0
134397,0
134406,0
134413,0
134420,0
134423,0
134431,0
134433,0
134435,0
134436,0
134453,0
134461,0
134466,0
134473,0
134486,0
134495,0
134496,0
134500,0
134503,0
134516,0
134530,0
134543,0
134571,0
134577,0
134585,0
134590,0
134592,0
134600,0
134604,0
134612,0
134617,0
134636,0
134637,0
134640,0
134647,0
134655,0
134669,0
134685,0
134686,0
134687,0
134689,0
134692,0
134700,0
134702,0
134703,0
134712,0
134721,0
134738,0
134739,0
134740,0
134748,0
134751,0
134756,0
134757,0
134763,0
134768,0
134771,0
134782,0
134786,0
134788,0
134791,0
134794,0
134803,0
134814,0
134819,0
134822,0
134831,0
134835,0
134838,0
134839,0
134840,0
134844,0
134846,0
134856,0
134858,0
134861,0
134868,0
134870,0
134873,0
134875,0
134880,0
134884,0
134886,0
134892,0
134893,0
134896,0
134898,0
134906,0
134912,0
134914,0
134915,0
134918,0
134924,0
134928,0
134933,0
134937,0
134943,0
134952,0
134969,0
134972,0
134976,0
134982,0
134988,0
134990,0
134991,0
135007,0
135011,0
135019,0
135039,0
135040,0
135047,0
135050,0
135052,0
135055,0
135058,0
135063,0
135068,0
135069,0
135072,0
135078,0
135081,0
135086,0
135091,0
135097,0
135098,0
135113,0
135116,0
135121,0
135129,0
135130,0
135131,0
135132,0
135139,0
135140,0
135141,0
135144,0
135152,0
135155,0
135162,0
135182,0
135186,0
135198,0
135199,0
135203,0
135218,0
135219,0
135222,0
135223,0
135226,0
135231,0
135242,0
135245,0
135250,0
